,total_sessions,total_session_seconds,total_calories
1831-5,3,13260,2888
4699-6,3,15480,1689
4003-34,1,5520,1742
2801-20,1,6660,343
4264-35,2,12840,1413
223-29,1,7380,408
4565-3,1,2160,946
4374-40,4,31140,4898
2238-16,2,12000,1969
2579-17,1,4860,480
1779-27,5,29100,4620
621-13,5,25860,5014
1214-30,2,7020,2551
4055-35,1,5340,805
4314-32,2,18840,1303
4264-10,2,17400,2682
2828-2,5,27960,3690
2241-31,2,15420,2309
1363-22,3,17040,2706
2839-21,2,13440,1882
2503-26,3,16680,1583
2241-13,3,15840,1799
93-18,2,17220,2010
1239-31,2,9480,1500
4609-5,3,22860,3216
3471-34,1,5460,844
3236-31,1,10020,1368
4202-40,3,20700,2057
2765-22,1,10680,1307
3605-31,1,9660,1231
2836-26,2,16680,2989
3902-13,1,9960,754
3235-33,5,29880,6092
3629-31,3,13980,1742
1769-3,1,6360,1027
3510-32,1,9480,1007
2902-28,2,12240,2319
1542-38,3,15840,3235
2092-34,2,13860,1175
2651-35,3,22080,2391
1732-15,3,16440,2299
92-15,2,14940,711
4855-1,3,14760,2145
731-1,4,20940,4025
4433-26,3,28320,2408
3815-33,2,13320,569
700-21,2,17880,1206
3015-34,4,25560,3679
2312-17,5,27840,5505
2017-30,2,16620,2558
3491-25,4,21840,4464
978-7,3,21120,3553
4211-27,3,17940,3153
1259-13,2,16080,2454
3856-34,2,9660,2513
1298-38,2,9120,932
1979-20,2,13200,2493
4130-15,2,15180,749
1733-4,1,3600,1379
2943-40,2,10560,1672
2510-32,3,22740,2051
449-33,2,10440,2382
1238-34,1,8040,668
4501-8,1,8820,774
333-12,2,7800,1643
4324-13,3,21720,2495
166-20,2,7320,2294
4681-15,2,6420,2008
4833-38,2,9360,2424
4694-38,3,18960,2146
4689-2,1,3960,690
4028-16,2,12780,2599
2775-8,2,10320,1853
1700-39,4,23940,3173
1414-13,1,5400,559
1447-5,2,15300,2515
3483-13,4,28800,4136
4745-41,2,14820,2617
1688-15,4,23820,3439
447-38,3,10080,1853
3475-1,2,16500,1707
97-13,2,15600,2027
2427-4,3,17700,3902
2718-33,1,5820,183
3258-21,2,5940,2257
4727-29,3,18120,2768
503-39,3,22860,1502
4384-9,4,15120,3643
4465-12,2,15900,1347
65-4,2,10020,468
4258-6,3,16380,1608
662-7,1,6780,563
3490-16,1,6180,1006
481-1,2,8160,1493
4663-1,2,14640,1137
3262-41,4,28800,3658
406-12,5,24360,3453
4861-19,2,21360,944
3561-11,1,2280,1345
3384-33,2,7860,2497
3668-17,5,34620,5253
4962-33,1,5460,503
1118-4,5,30000,5249
2438-23,3,21780,4298
3483-2,4,25260,1974
3710-32,5,34080,3444
3441-41,2,11700,1571
742-3,1,4800,321
3240-36,1,9660,1327
2922-34,3,23640,2159
1832-36,1,10020,325
4139-4,2,15660,1356
911-36,3,22500,3992
4013-25,3,22440,3772
4703-31,1,9240,907
1419-30,2,9240,1875
4815-39,2,6780,988
4310-15,3,14400,1912
4039-31,3,16980,2732
3640-4,2,15720,1758
3446-28,3,12780,3306
132-10,4,28980,2192
2057-17,1,6900,830
153-19,1,2760,921
2479-14,1,9420,668
483-20,5,29880,5343
305-5,1,8940,964
2520-11,2,16080,1785
993-37,1,9960,717
2238-1,3,23820,2158
2560-3,3,18000,3097
4439-35,4,29580,3780
715-20,4,30300,3569
1710-5,3,11820,2631
1058-19,3,17820,2444
471-17,4,29280,2879
3466-32,4,36360,4901
741-38,2,6720,2546
3567-28,2,14400,2008
513-23,2,9720,1124
3394-21,3,17220,4103
3286-41,2,7140,2085
3838-39,1,9960,393
2193-39,3,14700,3935
4655-39,2,15180,698
4888-14,4,25920,3342
360-31,4,31320,3576
285-15,2,10860,1702
3317-12,4,16860,4363
3278-4,3,19680,1567
2632-11,3,20220,1913
1758-34,3,19500,2253
2775-32,5,27720,6809
1523-30,3,19200,1588
1246-31,2,12960,2037
1413-24,1,6300,1322
4839-17,3,14400,2941
1417-15,2,13860,1218
358-4,1,3660,1731
3466-38,5,35160,4475
4136-5,4,22980,4230
2950-10,3,22380,3562
3142-25,3,17940,3428
2877-17,4,26940,3821
4554-24,3,14580,3434
197-23,3,17880,2338
1875-8,1,9120,779
938-36,5,23700,6268
2195-5,3,14820,3549
3531-5,4,27900,3457
4126-23,2,12000,1849
390-30,6,47460,4456
2927-19,5,36000,4663
347-32,2,13680,1937
2845-13,1,3180,1285
119-23,4,18900,3845
4616-23,2,10200,916
1239-32,1,8460,973
2781-29,3,18180,2757
2128-32,2,11700,910
2467-27,2,19500,2133
584-19,1,10620,493
2760-35,2,9480,2371
1709-35,2,7920,2685
2705-37,5,37440,4909
4838-24,1,10680,465
672-22,2,17220,1069
1772-15,3,19740,2718
1686-39,2,5340,1615
2078-38,4,32160,3643
2486-15,3,23880,2795
1697-13,2,18180,1948
3602-38,4,21480,2861
4159-6,3,18480,2992
1454-33,1,3900,1067
3207-40,5,34080,4051
4253-39,6,34680,4536
2991-12,1,6900,1033
4873-22,3,22440,3973
2302-26,1,9060,555
3259-21,2,11160,702
1351-3,2,16680,1757
4102-9,3,16140,2908
3950-28,2,11520,1733
1280-20,4,29760,3178
821-22,2,7020,1282
1344-34,3,16200,2898
2296-3,5,33060,5373
4-15,2,7980,2419
2561-15,3,26220,1897
2554-12,2,13740,1744
31-30,1,5520,1020
1653-17,2,16980,1013
1299-13,4,23220,4662
4805-32,1,6300,904
886-30,2,9720,2034
1201-39,2,15300,1925
3359-3,7,40560,6129
1980-25,2,20640,1649
4844-40,1,8400,479
4039-18,2,17820,1615
2127-30,1,7440,383
2291-20,3,14220,2090
3895-36,3,20160,2644
4597-8,5,34680,4192
205-17,3,18060,2893
1484-40,2,10980,982
2771-1,3,20940,3457
4429-11,2,15780,1150
2651-1,5,37260,5026
4262-6,2,11460,1557
2209-15,2,12900,737
6-19,3,19320,1650
532-32,3,19140,2961
2093-30,4,21540,4179
4553-15,5,30060,5083
227-6,3,16020,3167
2100-12,3,16500,2281
4567-11,3,21000,2863
897-6,3,23220,1098
1321-2,2,8220,2423
2662-14,1,3300,1764
2560-22,4,34920,3895
1665-35,2,8520,2539
1526-21,2,6780,2902
3751-13,3,24300,3253
3655-37,1,7380,967
2568-29,3,20040,1439
4770-2,2,18180,2853
1097-31,1,7980,1020
3099-17,2,14940,2605
3241-12,2,8220,828
2823-7,4,32760,4059
2928-19,4,15600,2864
4994-37,2,15240,1460
3615-13,4,29040,3365
848-8,1,7080,660
3617-19,2,9000,1918
3894-27,2,4920,1891
3382-28,2,14880,1739
3072-20,4,31500,3979
2995-35,3,22800,2564
4743-14,4,27780,3020
4534-12,1,7140,987
1501-39,3,20220,2493
2443-5,2,17580,1574
1726-9,2,6780,2749
1566-33,4,29160,5056
1744-41,3,23040,3451
326-25,2,8940,787
4418-40,2,15240,2231
2231-8,3,10500,3574
2667-36,7,36960,5309
1210-5,2,9780,3495
4362-2,2,13800,1515
842-19,2,10740,2405
4425-25,1,3480,839
3902-2,3,15300,3443
3437-3,2,12060,2051
4779-40,2,3960,1248
2072-6,2,13020,2582
1285-19,2,7980,1809
1379-30,2,13860,2660
2659-33,4,19920,5401
3562-19,2,14220,3666
1888-18,2,15960,1411
4013-13,2,8100,2562
1979-16,2,18600,1244
4728-29,2,14880,2171
4417-7,1,10260,687
4299-33,1,2400,755
3162-16,2,13620,2622
2225-26,1,6360,703
4723-34,2,9060,1708
2080-2,1,2640,1716
4823-21,5,25920,5956
954-14,2,14040,1682
2868-10,4,27900,4545
2291-3,1,6000,444
70-41,3,19740,3919
1095-16,2,12660,602
4254-37,4,25860,2823
549-30,1,2820,1478
1840-13,1,10020,664
1952-23,2,9840,1330
1059-29,3,21780,2388
3552-28,3,13320,1640
2508-9,1,7500,1103
3908-36,2,11760,1220
4982-10,3,14280,3000
3491-33,4,23640,5237
4607-24,1,7320,806
4464-21,1,8100,1073
2960-34,6,26880,4376
883-25,3,22200,2764
2626-6,4,23040,2989
4765-29,3,25440,3237
2154-14,2,7740,1612
4762-19,4,17880,2426
3567-33,1,4500,1503
260-11,3,14580,2366
1509-5,3,20220,3178
313-33,2,16380,1575
2679-13,3,16860,1998
1845-12,2,5820,1514
2585-12,1,3540,840
4015-30,5,38460,3871
3252-21,1,10380,1450
1534-24,1,9540,1076
4770-3,2,13200,1168
1424-19,4,22320,1944
2021-8,1,4260,634
1692-34,4,22080,3896
1729-38,3,18360,4073
328-17,1,6120,1505
1589-21,2,19680,2469
3754-22,2,14160,1688
2895-13,2,14820,1021
98-32,2,8160,1355
4755-15,1,3900,738
2348-1,2,9720,1667
1098-5,2,8160,1799
4735-8,3,26940,2911
85-4,2,8820,2034
1278-34,1,9180,1209
2712-28,4,19320,2650
519-35,1,3060,1465
3524-23,2,13200,1900
184-31,2,16260,2046
973-28,2,10620,2494
3386-14,2,8760,1797
2389-14,2,15120,2181
4323-24,2,9480,2247
4933-32,4,21420,1967
2312-22,1,3120,942
2498-10,2,12420,1449
3480-13,2,9540,1354
4266-20,1,8220,878
566-32,1,8700,915
1936-24,2,14760,2639
827-35,2,20280,1757
4702-3,5,38460,3552
3118-16,2,7080,2042
350-33,3,18540,3951
99-5,2,13140,3183
1770-26,3,23940,2512
1805-9,2,15960,1174
1061-18,1,4260,1939
3510-22,2,10680,1763
3057-25,2,7920,1362
4171-3,1,9000,1076
2106-12,1,7800,1462
3091-25,1,3600,1872
402-35,3,23280,1714
188-28,5,26580,4766
3985-12,2,10620,1607
139-10,2,8100,1708
143-13,3,14220,3053
4204-39,1,2340,1594
221-24,1,4200,1873
4241-10,2,5580,1972
4606-33,2,14940,2330
2424-41,1,5100,619
4101-15,5,29940,5221
4029-14,1,8640,1232
388-36,1,4980,870
3839-19,2,16980,1798
3032-27,1,7680,283
560-14,2,14580,507
1840-25,1,2280,1514
3235-10,2,14100,2170
1772-18,1,7020,553
365-23,4,15600,3995
417-3,1,2760,1419
1636-38,3,16920,3188
2069-5,2,10680,927
517-29,4,25740,3567
4032-28,2,11820,1833
1221-7,3,10080,2005
661-35,4,16620,2990
3417-32,4,17760,4642
330-28,4,31980,3823
378-24,3,18060,1885
3283-21,2,11820,1730
160-1,4,23700,4781
4754-26,2,10740,1289
1264-40,1,7620,324
4175-15,3,22260,2632
2200-4,2,17280,714
2565-30,3,18540,3005
2431-1,2,12720,1223
4789-34,1,8700,530
2038-40,3,15600,2249
2400-10,2,15720,2293
1225-7,5,26760,4442
1989-6,1,7320,288
866-3,3,15300,1399
391-13,3,13200,2757
1409-24,3,19140,2917
4916-23,2,9960,1193
4031-19,2,16080,1291
4436-17,3,25380,2880
1555-29,1,9420,202
4048-18,1,5340,386
132-1,2,12480,2021
3680-30,1,1920,769
3077-32,1,8460,1111
4473-33,6,34320,3740
4736-27,1,8520,998
1522-4,3,17400,2870
3270-26,3,16860,2274
441-24,2,9540,1269
1742-18,3,25500,2744
1204-15,2,15180,1415
241-9,2,12480,1933
3392-12,3,13020,3040
3722-30,2,13920,2767
4119-18,1,5640,770
1204-36,3,23880,1863
1888-9,3,21240,2881
4271-41,3,28500,2493
198-10,3,26220,2512
3526-15,3,23400,2608
4195-30,5,23160,3694
745-6,2,19860,1940
453-39,2,9120,1724
3263-6,2,16140,1149
3022-29,2,13560,2995
499-23,1,3840,1019
3688-38,2,9180,1769
3263-36,5,28500,4798
141-29,1,7680,1155
1715-26,3,12900,1720
2821-14,4,33720,3928
2223-40,3,23040,2565
2468-17,2,16140,2450
676-25,4,22740,2800
3506-21,3,20220,2574
3603-36,1,5820,452
918-23,5,36600,4759
1823-4,3,9540,3547
3823-19,3,23280,2860
2604-6,1,9660,608
4804-26,1,6240,748
1731-7,1,9120,316
3429-26,3,20760,3816
4657-18,1,3600,807
4155-15,1,10440,930
3719-38,4,29940,3229
1625-2,3,13800,3057
1807-29,4,18180,3897
4359-9,2,12900,1565
1455-26,3,28380,1372
354-2,2,13260,1489
2934-41,1,6540,1021
941-33,1,3120,900
3946-8,1,8520,1176
4143-23,1,9360,349
4849-5,1,2880,1596
230-34,4,28680,4282
3483-15,3,16020,2057
4853-17,3,21240,2522
4858-13,4,30060,2971
238-3,2,6420,2247
3773-30,2,14580,3540
4174-6,1,8880,717
2782-22,2,9900,812
2607-25,2,6240,1642
1985-20,2,9000,2125
3096-22,1,8400,495
1053-17,2,4860,2007
351-35,1,6540,361
913-7,5,42720,6061
4446-2,2,11880,1308
1305-40,3,22560,3249
2524-24,4,22560,2903
292-24,3,17520,1230
1213-22,3,28920,2533
468-15,3,17760,2673
3278-13,1,8880,2005
2526-36,1,7620,1216
3576-22,3,8820,1696
3200-27,2,14340,1329
4326-29,3,17580,2123
1065-8,4,29280,4360
4889-24,4,22860,3442
3464-28,2,12000,2279
4920-15,1,4680,454
1694-17,3,16740,3396
4932-14,2,17460,893
2395-18,1,10680,1627
2058-1,2,17580,1570
87-23,2,11640,1163
2593-10,2,14340,1807
4043-21,2,7560,2162
2921-36,4,18060,3028
4-9,3,16980,2051
3095-20,1,10500,372
1522-2,2,13320,1252
2949-3,5,27720,4782
3858-25,8,40440,4660
1978-30,4,17100,3455
1475-32,2,11160,2963
1131-20,3,23820,2840
881-38,1,8340,848
1402-38,3,17940,2066
1976-15,2,14160,1574
1751-11,4,27300,3542
2-3,2,16260,2097
1145-28,4,27480,3864
1639-20,3,20220,2230
149-3,7,36060,6002
4248-35,5,38220,4694
2354-14,1,8520,438
2044-18,2,14160,1608
1703-29,2,7440,2244
2930-15,4,28680,4482
4571-19,2,11100,2473
1388-4,2,8340,647
4903-35,1,5100,775
1664-34,1,4860,1979
2081-37,2,7140,1427
1997-37,1,6900,1336
3693-5,3,11220,1942
3231-6,2,18060,631
1251-29,3,12960,2154
4463-3,1,2460,156
2037-16,4,28560,3828
538-26,1,9960,675
1555-20,1,8400,757
2153-33,1,5880,1601
791-5,2,13680,1817
1949-13,3,14160,1802
4144-31,3,19980,1781
4756-33,2,14160,2322
1436-23,4,27720,4852
3250-25,2,21360,1703
2849-16,2,12960,1611
114-40,4,29280,2684
2344-15,4,23760,2716
4534-33,2,16200,2120
162-4,2,12540,1020
3913-12,1,7620,212
504-7,2,13080,1370
2635-21,2,11280,1001
2506-34,4,37440,3004
1395-2,1,3900,1250
1510-37,1,3180,496
2320-2,1,6000,560
3251-28,2,16680,1599
480-39,3,15300,1519
4255-39,2,12600,1742
755-38,1,9960,1109
4000-16,1,4020,937
1837-10,3,18960,3989
204-29,1,2280,1263
2843-6,3,13500,2243
3350-41,2,13740,2208
3215-24,4,24060,3294
3592-4,3,18720,2774
4608-35,1,1800,1261
4212-26,4,28020,3260
392-21,2,17160,2182
3415-23,2,19920,1176
3445-4,4,18180,3587
2774-32,2,8460,1853
2417-13,2,5100,1736
1239-37,4,27780,4082
2949-4,3,17580,1908
741-17,1,5580,1357
3884-10,1,9000,406
4133-23,5,32880,5644
2844-15,1,1920,1677
1536-7,2,16740,2125
369-7,3,19620,3395
2272-33,1,3780,666
1958-8,5,26520,5672
4910-34,3,17820,3158
1099-34,6,39300,4756
2772-39,6,24540,3321
1392-28,4,25200,4310
1648-25,3,21300,3978
2032-19,2,8280,2136
1679-17,4,19800,4057
2147-9,1,4800,1123
2825-31,2,18660,2139
3297-1,1,6360,434
4171-16,1,2460,725
3782-37,3,16020,2351
2232-21,1,6000,609
3365-40,2,10200,2398
3129-5,4,15660,3256
1273-29,3,14640,2352
1980-11,2,15480,2263
3698-24,3,23400,2025
2188-5,3,20580,1590
2407-4,2,11940,2058
1577-37,1,2700,826
3480-41,3,26940,3870
3546-6,1,2880,814
1470-40,2,18000,2485
980-25,5,28560,5253
1256-31,3,21060,2450
3689-33,5,30300,4087
1642-30,5,27540,4958
300-34,4,29220,3000
4522-10,2,10860,1643
3043-41,3,26340,2059
401-18,3,16860,2837
1281-17,2,19920,2701
4837-20,2,4260,1822
862-20,2,10680,1601
4590-3,4,34860,3133
2574-3,1,4740,1475
2785-39,3,17700,3419
4186-20,2,7080,1702
4160-17,4,27120,2664
1112-21,2,20220,2765
1057-12,4,22500,4006
1096-21,1,7560,1396
2301-39,5,35580,4153
3992-31,4,13980,5205
514-28,3,18420,3146
4232-11,2,13740,1744
2677-37,4,16920,4436
121-7,2,13680,999
1502-32,2,13800,1196
2848-41,3,9900,3780
4920-36,2,9480,2545
1118-13,4,27180,2728
505-10,4,25680,4236
2992-28,2,16620,1775
1624-7,4,20760,5019
2239-17,2,5940,1591
2434-6,4,20940,2132
803-39,1,1980,603
4374-37,1,6840,576
1472-22,2,9540,2158
827-5,2,17400,2231
1429-10,4,20940,3353
2444-8,5,26100,5566
4875-37,2,10920,2519
4307-20,1,5700,851
4986-22,4,17640,3073
3782-15,3,19500,2512
2026-10,1,3240,1034
2318-41,6,38400,3597
1007-37,1,8940,870
1638-32,1,6660,487
845-22,2,15360,1597
4494-11,2,12360,3187
3288-31,2,17880,1621
3504-17,4,22740,2807
2862-5,3,7560,2698
639-39,3,15180,2235
493-39,1,7680,404
2999-17,3,20040,1230
3658-24,1,6180,647
2176-29,4,10980,4273
1486-24,2,14760,1438
4544-13,2,8040,1359
559-8,3,15300,2647
3749-10,4,27540,2880
970-33,6,35160,5105
4010-1,1,8460,865
86-24,3,13320,1706
4973-18,1,9720,869
3129-26,3,16080,1748
4302-34,7,46080,5365
2196-14,3,14220,3930
4887-33,5,30000,4832
4054-31,4,23880,3589
947-26,3,16740,1818
3209-1,3,16320,3012
1994-4,3,16800,3143
3441-21,2,13500,1316
1546-13,5,36720,4742
4653-37,4,29220,3765
3508-12,1,7740,401
30-5,2,14340,1754
1472-7,2,12180,2074
1410-1,3,15660,2291
3761-20,3,23760,2942
3680-23,2,12120,780
529-34,1,3480,1690
126-13,3,15420,2276
4909-10,3,18540,2704
3857-31,3,13620,1859
3259-26,2,12480,2010
654-38,1,8280,1464
4234-2,2,16500,2207
741-35,3,20580,2770
2262-9,3,16680,2238
291-2,1,6060,1660
2992-24,2,5460,1032
3642-31,4,25980,3625
2578-32,3,22920,2708
2740-25,2,8760,1994
1694-23,1,1800,1527
4645-31,2,14040,2344
1320-30,2,17460,1778
2822-31,3,25500,1504
3663-29,3,16200,3201
3230-7,6,31560,5804
1396-4,3,21660,2574
2968-27,3,20280,2893
3962-39,4,22740,3202
2615-17,1,4920,991
1545-25,2,12840,1367
3902-10,2,11940,1009
4498-28,4,21420,3690
1781-6,3,15660,2977
2151-15,1,9480,1603
4883-35,4,25380,3943
4469-22,3,21300,3117
4434-9,1,9240,215
1057-11,5,26580,3405
1446-19,2,15180,1816
1969-17,2,11040,1126
1097-41,1,5460,383
1882-40,3,14400,3052
1205-16,6,37200,6155
1921-7,2,10080,1550
3584-18,1,3120,1978
3140-34,2,6480,1729
3975-14,2,14400,1471
3420-9,2,9180,898
2039-16,5,33300,5909
1733-32,1,8220,1481
32-20,2,20760,1757
1969-21,4,23220,4439
2975-9,3,16680,3643
3331-4,2,15060,1872
3569-13,3,14940,2322
2926-10,1,8340,989
2223-1,2,19140,1249
3439-24,2,14700,2908
15-1,1,9240,991
3123-22,2,15300,1599
107-12,4,28980,3359
3794-31,1,9000,1294
4565-6,1,6420,719
202-13,3,26400,1284
1795-9,2,8280,1975
1409-20,2,8580,2507
917-18,3,31440,3710
4432-11,3,20760,1417
1685-25,4,25620,3814
3167-27,1,2640,859
65-33,4,14280,4310
4649-16,4,22380,2382
4320-15,1,6720,282
3651-15,3,24600,2518
2016-4,3,12960,3528
1322-39,1,5880,473
4025-21,2,17700,2334
613-22,2,7020,3114
652-14,4,27720,3467
4814-6,3,18660,1581
1388-14,4,33720,3976
2867-37,1,5760,834
2121-17,2,9000,2295
4764-31,3,18960,1755
3196-10,1,10440,567
4110-21,4,17520,4073
3829-4,1,3900,1894
3129-23,1,9360,881
4867-26,4,33300,2496
3106-32,2,13860,3621
538-10,4,24600,3491
2419-11,4,26100,1554
2208-35,2,13260,2219
3178-8,1,6120,400
2323-10,2,5820,1771
2038-1,2,13740,2098
4354-2,3,17100,3339
963-1,2,12900,1880
1244-2,3,16200,1578
533-28,4,20220,4290
1870-13,3,17040,1256
3131-40,4,25260,2191
1654-27,1,4620,1358
113-38,3,23340,2684
1300-19,3,23700,2085
2305-16,1,4860,953
4425-24,1,10380,504
3307-22,1,6600,1731
4147-20,3,16560,2380
1702-38,1,7320,526
3815-1,4,25200,2952
221-32,1,10680,430
2831-19,5,24480,4103
2644-10,3,21180,1570
3881-39,2,10320,1203
4318-7,1,2460,1230
3782-22,1,4680,1020
1959-22,1,5880,1075
1297-18,2,11880,3228
1033-31,6,39600,2864
4323-35,2,14580,1526
2606-8,2,8100,2362
3184-37,2,18480,2382
4951-11,1,5640,1041
3229-7,1,9900,1152
1476-33,4,22980,3807
2366-9,2,12180,2325
2408-20,1,8700,872
936-18,3,8760,2462
2968-28,3,17280,2510
2950-28,2,13740,1278
2246-25,1,4920,1247
2638-3,1,5880,1484
4338-1,2,12300,1152
3951-34,3,13320,2775
2659-7,2,12720,1541
1815-8,2,7560,2239
3284-8,4,26640,1952
1297-4,1,6960,247
3156-13,4,19620,3410
1648-9,2,10800,2354
360-3,2,13500,1053
3453-34,6,25260,4934
3612-38,3,14700,2435
1165-18,2,11940,2431
3245-10,4,26400,3582
4026-5,3,19740,2993
3701-31,2,9000,2225
503-4,1,5520,1419
4205-23,2,14640,3347
4839-21,2,19260,1449
1344-12,3,8700,2599
3380-12,3,21300,1667
3813-10,3,17460,2978
811-6,1,3300,361
786-9,4,19380,2565
228-34,2,13260,1877
4948-38,3,25320,2635
828-35,1,2100,483
379-34,5,40860,4639
3812-10,1,3240,381
2026-32,3,16020,3370
3365-6,4,25200,2601
3377-14,5,42840,3911
2339-12,2,7260,1817
1129-38,2,16020,1557
291-29,4,22800,4023
3549-18,1,10680,835
2725-34,2,8220,1745
60-9,1,9240,281
4202-24,4,20520,3235
2671-5,3,14340,1844
3340-6,2,10380,1102
2790-25,5,29820,5065
3655-1,1,6420,340
3191-40,2,11400,1118
4996-12,5,28020,4598
2493-17,2,13740,968
4402-11,3,14040,2858
2663-25,2,15660,1866
202-14,1,8820,1072
3162-23,1,9240,1018
471-14,4,25740,4162
3027-19,1,1980,588
3357-38,4,36000,3785
3755-22,2,12780,1063
2357-26,2,12960,1911
3974-19,3,15840,2942
4829-21,3,8760,2651
2584-8,3,16020,2743
4472-7,1,4320,479
3786-28,5,37980,4674
2547-7,1,5700,1365
2684-40,4,29520,3452
4238-16,2,15600,1725
3124-1,5,29100,5259
3142-23,1,3660,368
2308-20,2,13740,1232
3791-30,4,18000,3083
3111-14,4,27120,4588
348-18,2,18000,2135
1602-13,1,6780,731
3597-18,2,13740,2379
3778-3,5,34260,3533
4924-36,2,13200,1856
2554-2,3,12480,4863
4521-3,3,22740,2214
3779-15,2,11640,1230
322-36,4,22920,4287
3662-40,3,19320,1604
2298-38,1,9840,581
180-16,3,17100,1928
3966-26,2,11940,1844
1713-12,1,4860,294
29-17,1,6180,1894
3568-12,2,11640,2106
2034-35,2,12600,1038
738-6,3,13260,4019
3720-23,2,14520,1872
55-38,1,5640,1341
2926-8,3,23520,3394
1434-4,2,12540,1434
2065-6,1,5700,1186
3643-23,3,13620,2333
4184-7,3,14220,2578
3295-17,2,10740,1971
3856-40,4,30900,3237
2752-17,4,19980,2496
3634-20,3,19020,1837
725-9,5,34260,6359
1254-8,3,14100,4038
1178-40,4,17040,2948
1297-15,2,13980,1517
895-29,1,3240,1316
2500-3,3,18300,2457
1330-27,4,26160,3639
2475-2,2,13020,1680
2628-14,2,12780,2208
4347-30,2,14640,1351
2451-20,5,22860,6523
2969-26,1,4800,516
1170-5,3,19680,2993
3440-11,6,32580,4664
2368-33,2,12480,2081
4295-23,3,24780,2881
1465-5,1,9780,1439
2193-22,4,24420,3517
1731-26,2,6780,2494
